pa,k_percent,bb_percent,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
705,18.3,6.8,0.325,0.307,30.1,6.9,32.8,77.650030909,93.507853123,20.2,47.8
741,25.6,5.9,0.268,0.293,37.3,9.8,40.6,80.393226331,94.253239919,26.7,52.7
726,33.5,5.6,0.276,0.274,33.0,9.8,38.6,77.565526758,94.105607466,31.9,48.9
866,17.0,6.5,0.311,0.311,31.5,4.9,35.2,77.912445506,93.493739367,18.0,47.7
248,23.8,6.9,0.32,0.318,34.3,7.1,36.7,78.485395366,93.790261524,29.6,45.0
534,19.5,5.8,0.331,0.343,34.7,10.6,39.0,78.973263622,94.487751049,19.8,48.4
731,25.7,5.7,0.305,0.308,34.8,7.9,36.0,79.742936708,93.732759521,27.2,51.5
720,19.4,8.5,0.311,0.307,29.0,4.3,32.5,76.949157521,93.08191824,22.8,44.6
808,24.8,7.1,0.287,0.32,30.9,8.0,45.6,81.844590865,95.101299868,26.7,47.2
561,18.5,9.6,0.36,0.356,35.5,7.8,35.5,77.08827198,93.719873756,21.1,47.9
154,23.4,11.0,0.38,0.344,45.0,6.0,38.0,76.8927192,94.1626739,27.3,47.7
694,27.1,7.3,0.322,0.292,34.1,7.8,34.9,79.07837838,93.549015058,27.2,48.1
171,19.9,7.0,0.336,0.316,27.0,4.1,49.2,82.387648689,95.110284628,25.7,45.2
828,23.6,6.0,0.294,0.297,34.5,5.3,32.4,75.98017,93.070746151,23.0,50.9
190,22.6,5.8,0.358,0.364,41.8,10.4,38.8,78.012764776,94.478611418,24.9,48.8
159,24.5,7.5,0.262,0.326,35.2,7.6,43.8,76.190096415,93.83150619,24.2,42.5
639,20.7,11.1,0.361,0.332,34.7,7.7,38.5,77.103488815,93.79839827,25.1,47.5
805,19.0,4.8,0.279,0.306,35.1,6.9,36.0,76.747856744,93.485106739,18.5,48.9
756,23.3,8.5,0.303,0.31,32.5,5.3,39.3,78.131276787,94.098144266,27.0,47.8
240,24.6,7.5,0.278,0.276,31.1,4.3,32.3,73.64785675,92.8843835,26.2,50.7
776,19.7,10.1,0.305,0.315,32.3,5.8,27.5,75.979605172,92.614986169,22.5,44.9
648,21.0,8.2,0.347,0.354,39.7,7.3,33.6,77.636625,93.393625241,22.8,49.2
671,17.1,7.3,0.323,0.335,30.0,6.4,36.8,78.575125172,94.253213513,20.7,47.9
665,32.8,10.7,0.282,0.297,31.5,6.2,41.0,79.748876264,94.264737912,34.2,44.7
539,20.2,5.8,0.308,0.325,33.0,7.6,35.8,77.560782051,93.826673462,22.1,49.1
525,12.2,7.0,0.327,0.347,26.6,4.8,34.1,80.680145132,94.146908571,18.6,47.2
884,14.3,6.9,0.307,0.314,32.7,4.4,30.5,77.444821923,92.707226701,19.5,49.4
582,16.3,6.4,0.355,0.351,36.4,7.9,40.9,78.820426091,94.314553841,18.9,48.0
230,30.9,7.8,0.287,0.313,38.2,10.3,34.6,73.058888806,93.584681353,32.2,45.6
797,30.5,6.4,0.267,0.273,31.6,5.7,34.1,75.64792823,93.404000041,35.2,46.2
777,34.1,4.6,0.24,0.248,33.8,5.3,29.2,73.482502112,92.579947586,33.6,49.1
557,25.1,6.1,0.303,0.286,34.9,4.8,28.4,75.376650984,92.508379754,27.0,48.1
511,22.9,4.7,0.306,0.28,30.6,4.1,41.2,80.577407377,94.37797112,25.5,49.8
633,29.4,8.7,0.31,0.291,35.1,7.4,38.5,78.768392552,93.979846684,30.7,49.9
742,24.7,7.0,0.332,0.307,31.9,5.8,37.9,79.780287358,93.996075703,28.8,45.9
159,27.7,9.4,0.264,0.286,33.7,9.2,41.8,80.117989796,94.003738061,32.0,45.3
213,21.6,8.0,0.313,0.328,37.2,8.8,35.1,80.637716027,93.78769226,25.9,47.1
626,22.7,7.3,0.301,0.291,33.3,4.3,31.1,74.125082824,92.893389398,22.1,47.7
521,25.7,7.5,0.292,0.295,34.8,6.1,38.0,76.503695765,93.824895221,25.9,48.9
693,26.6,7.1,0.293,0.279,33.4,5.0,31.0,74.156470132,92.633089342,26.1,45.2
708,29.8,6.1,0.252,0.279,36.0,5.8,32.7,73.412163318,93.487917153,28.2,51.1
536,20.7,3.7,0.268,0.293,34.7,9.2,37.2,78.1802297,93.892214687,23.5,51.5
733,18.8,9.7,0.313,0.322,33.1,6.8,40.9,77.901900078,94.417705363,20.5,44.1
527,26.9,9.5,0.289,0.299,32.0,8.2,35.1,79.013770491,93.829788558,31.3,45.5
648,21.5,9.0,0.379,0.358,35.7,7.8,39.5,78.560234136,94.179600432,21.0,42.8
660,20.9,7.4,0.33,0.304,32.4,6.1,31.1,77.301990348,92.957795348,23.0,45.5
626,16.6,12.0,0.388,0.383,37.9,8.2,39.5,77.431320642,94.022564736,18.8,41.2
651,14.4,2.5,0.347,0.365,37.1,7.6,40.6,79.80834891,94.020705808,12.4,51.4
911,23.7,5.6,0.254,0.264,25.2,3.3,28.0,74.698599397,92.432825698,25.0,44.5
890,33.8,4.7,0.231,0.228,29.0,3.3,24.4,75.253223876,92.038684524,32.5,51.4
617,18.6,9.7,0.356,0.357,34.6,8.5,47.8,80.140899724,95.493330023,22.4,48.9
724,18.5,5.8,0.342,0.332,35.5,6.1,39.2,79.698250602,94.093293835,21.5,45.9
548,12.6,6.0,0.346,0.337,29.5,5.0,30.0,76.709887206,92.813471867,14.5,44.3
168,26.2,8.9,0.318,0.319,39.8,8.3,43.5,78.199123148,94.373298981,29.4,48.3
531,20.3,9.6,0.365,0.337,35.0,7.9,32.7,76.968297809,93.238116761,24.6,47.2
869,26.9,4.5,0.266,0.277,31.1,4.8,30.1,77.451582296,92.840258905,26.8,50.5
238,38.2,9.2,0.289,0.274,32.0,8.8,42.4,80.449045323,94.735060081,32.6,46.5
758,21.6,5.7,0.331,0.323,34.5,8.6,35.6,78.301945,93.595588475,22.0,46.9
652,19.6,11.3,0.318,0.332,38.0,7.0,35.1,76.334476941,93.456079153,27.7,46.6
744,24.1,7.4,0.272,0.278,32.9,4.8,27.1,75.422836173,92.398570412,24.5,49.2
262,20.6,5.7,0.277,0.324,33.0,6.3,36.6,75.684768404,93.58274617,24.1,46.0
533,20.1,6.4,0.307,0.336,34.4,7.8,47.8,81.658119741,95.361877073,24.2,46.1
826,21.5,7.4,0.333,0.32,30.1,6.7,35.6,76.167283693,93.879800506,25.3,47.0
265,15.8,6.4,0.333,0.363,34.0,12.3,38.9,77.820627228,94.226303762,18.1,44.3
645,23.6,6.4,0.327,0.313,35.2,7.0,39.5,76.28136711,94.446088119,27.6,52.1
224,21.4,8.9,0.321,0.326,33.3,9.8,35.9,78.127005789,94.03656543,24.8,47.3
558,26.9,7.3,0.341,0.318,33.8,9.4,40.8,78.778524327,94.070027126,28.2,48.7
629,18.9,10.2,0.345,0.34,37.6,8.2,32.3,75.818054326,93.084649767,27.8,49.7
245,17.6,7.3,0.383,0.354,37.6,9.4,37.6,78.450162111,93.882949553,23.4,47.6
509,15.5,6.3,0.356,0.358,37.6,7.7,43.8,80.680833316,94.94142239,17.8,47.8
835,32.2,5.5,0.23,0.243,32.2,4.1,28.9,75.417923083,92.619660514,31.0,52.5
668,23.4,3.1,0.322,0.287,31.6,5.7,34.2,77.499435588,93.150699895,25.7,51.0
745,20.5,8.6,0.33,0.329,32.1,6.5,39.2,78.292462056,93.845111434,19.0,42.4
543,16.8,6.6,0.315,0.319,31.3,5.3,29.2,76.225646548,92.906646514,19.9,45.0
759,27.7,8.4,0.308,0.298,34.1,6.5,34.3,77.107022328,93.357444017,28.4,45.2
