Method,M,Mean Accuracy,Std Accuracy,Mean Training Time (s),Std Training Time (s),Mean Test Time (s),Std Test Time (s)
Random Sampling,100,0.6390357142857143,0.024547605768783072,0.0012883186340332032,0.0005905785595086726,0.17058999538421632,0.014418084618553581
Random Sampling,500,0.7916714285714286,0.008967185074663356,0.0020038843154907226,0.0006678160702421403,0.25265634059906006,0.02744708826613878
Random Sampling,1000,0.8326357142857143,0.0027288051507977735,0.0028911590576171874,0.0010042521751137143,0.32545301914215086,0.01846015103049342
Random Sampling,5000,0.8918857142857144,0.002916385797943914,0.010548138618469238,0.004300698405659833,1.1075733423233032,0.08519640381659792
Random Sampling,10000,0.9129571428571429,0.0013093852740573852,0.030367493629455566,0.00972250284985389,2.0570252656936647,0.10773394711345609
DBSCAN,100,0.6467714285714286,0.017443137940877786,43.599392127990725,2.058208696977808,0.2311462640762329,0.1018875496665665
DBSCAN,500,0.7963785714285714,0.008141293709559063,43.490987515449525,11.384918949892459,0.27041690349578856,0.052389328784427765
DBSCAN,1000,0.8358500000000001,0.0022806752490954953,36.37760603427887,0.9376141280948384,0.30721321105957033,0.019210429116809234
DBSCAN,5000,0.892657142857143,0.0025204874811942937,37.13172693252564,0.9259092518828513,0.984806752204895,0.03437158625102319
DBSCAN,10000,0.9100571428571428,0.0030023460214727176,36.167986798286435,0.48839460675351754,1.790079927444458,0.03746402887318563
Active Learning,100,0.2097142857142857,2.7755575615628914e-17,0.777549147605896,0.23892087603785914,0.18857347965240479,0.02444731063903991
Active Learning,500,0.34064285714285714,0.0,0.725230622291565,0.041665790989621594,0.2289818525314331,0.006150123791635743
Active Learning,1000,0.3923571428571428,5.551115123125783e-17,0.730635118484497,0.05607653848054403,0.3082305908203125,0.004852293198400766
Active Learning,5000,0.5812857142857143,0.0,0.7319342851638794,0.04812720312141695,0.9432464599609375,0.016876979305134553
Active Learning,10000,0.6562142857142856,1.1102230246251565e-16,0.7574585676193237,0.056102338030125404,1.7390806913375854,0.019843504904089548
